country_name,syn_first,syn_second
Togo,Togolese Republic,
Tonga,Kingdom of Tonga,
Trinidad and Tobago,Republic of Trinidad and Tobago,
Tunisia,Republic of Tunisia,
Turkey,Republic of Turkey,
Turkmenistan,,
Tuvalu,,
Uganda,Republic of Turkey,
Ukraine,,
United Arab Emirates,,
United Kingdom,United Kingdom of Great Britain and Northern Ireland,
United States,United States of America,
Uruguay,Oriental Republic of Uruguay,
Uzbekistan,Republic of Uzbekistan,
Vanuatu,Republic of Vanuatu,
Vatican City,Vatican City State,
Venezuela,Bolivarian Republic of Venezuela,
Vietnam,Socialist Republic of Vietnam,
Yemen,Republic of Yemen,
Zambia,Republic of Zambia,
Zimbabwe,Republic of Zimbabwe,
